midlineX,midlineY,NPCCytox,NPCCytoy,BSKx,BSKy,NucChnlX,NucChnlY,CytChnlx,CytChnly
-380.688,-1494.15952,-310.688,-1494.15952,-480.688,-1494.15952,-400.688,-1494.15952,-360.688,-1494.15952
-334.72926,-1272.67909,-264.72926,-1272.67909,-434.72926,-1272.67909,-354.72926,-1272.67909,-314.72926,-1272.67909
-288.77053,-1061.82046,-218.77053,-1061.82046,-388.77053,-1061.82046,-308.77053,-1061.82046,-268.77053,-1061.82046
-242.81179,-861.58363,-172.81179,-861.58363,-342.81179,-861.58363,-262.81179,-861.58363,-222.81179,-861.58363
-196.85305,-671.96861,-126.85305,-671.96861,-296.85305,-671.96861,-216.85305,-671.96861,-176.85305,-671.96861
-150.89432,-492.97538,-80.89432,-492.97538,-250.89432,-492.97538,-170.89432,-492.97538,-130.89432,-492.97538
-104.93558,-324.60396,-34.93558,-324.60396,-204.93558,-324.60396,-124.93558,-324.60396,-84.93558,-324.60396
-58.97684,-166.85433,11.02316,-166.85433,-158.97684,-166.85433,-78.97684,-166.85433,-38.97684,-166.85433
-13.01811,-19.72651,56.98189,-19.72651,-113.01811,-19.72651,-33.01811,-19.72651,6.98189,-19.72651
32.94063,116.77951,102.94063,116.77951,-67.05937,116.77951,12.94063,116.77951,52.94063,116.77951
78.89937,242.66374,148.89937,242.66374,-21.10063,242.66374,58.89937,242.66374,98.89937,242.66374
124.85811,357.92616,194.85811,357.92616,24.85811,357.92616,104.85811,357.92616,144.85811,357.92616
170.81684,462.56678,240.81684,462.56678,70.81684,462.56678,150.81684,462.56678,190.81684,462.56678
216.77558,556.58559,286.77558,556.58559,116.77558,556.58559,196.77558,556.58559,236.77558,556.58559
262.73432,639.98261,332.73432,639.98261,162.73432,639.98261,242.73432,639.98261,282.73432,639.98261
308.69305,712.75783,378.69305,712.75783,208.69305,712.75783,288.69305,712.75783,328.69305,712.75783
354.65179,774.91124,424.65179,774.91124,254.65179,774.91124,334.65179,774.91124,374.65179,774.91124
400.61053,826.44286,470.61053,826.44286,300.61053,826.44286,380.61053,826.44286,420.61053,826.44286
446.56926,867.35267,516.56926,867.35267,346.56926,867.35267,426.56926,867.35267,466.56926,867.35267
492.528,897.64069,562.528,897.64069,392.528,897.64069,472.528,897.64069,512.528,897.64069
