midlineX,midlineY,NPCCytox,NPCCytoy,BSKx,BSKy,centralX,centralY,cenx,ceny
-213.95371,-988,-143.95371,-988,-283.95371,-988,-233.95371,-988,-193.95371,-988
-180.85003,-881.89474,-110.85003,-881.89474,-250.85003,-881.89474,-200.85003,-881.89474,-160.85003,-881.89474
-149.61478,-775.78947,-79.61478,-775.78947,-219.61478,-775.78947,-169.61478,-775.78947,-129.61478,-775.78947
-120.24797,-669.68421,-50.24797,-669.68421,-190.24797,-669.68421,-140.24797,-669.68421,-100.24797,-669.68421
-92.74959,-563.57895,-22.74959,-563.57895,-162.74959,-563.57895,-112.74959,-563.57895,-72.74959,-563.57895
-67.11965,-457.47368,2.88035,-457.47368,-137.11965,-457.47368,-87.11965,-457.47368,-47.11965,-457.47368
-43.35814,-351.36842,26.64186,-351.36842,-113.35814,-351.36842,-63.35814,-351.36842,-23.35814,-351.36842
-21.46507,-245.26316,48.53493,-245.26316,-91.46507,-245.26316,-41.46507,-245.26316,-1.46507,-245.26316
-1.44044,-139.15789,68.55956,-139.15789,-71.44044,-139.15789,-21.44044,-139.15789,18.55956,-139.15789
16.71576,-33.05263,86.71576,-33.05263,-53.28424,-33.05263,-3.28424,-33.05263,36.71576,-33.05263
33.00353,73.05263,103.00353,73.05263,-36.99647,73.05263,13.00353,73.05263,53.00353,73.05263
47.42286,179.15789,117.42286,179.15789,-22.57714,179.15789,27.42286,179.15789,67.42286,179.15789
59.97375,285.26316,129.97375,285.26316,-10.02625,285.26316,39.97375,285.26316,79.97375,285.26316
70.65621,391.36842,140.65621,391.36842,0.65621,391.36842,50.65621,391.36842,90.65621,391.36842
79.47023,497.47368,149.47023,497.47368,9.47023,497.47368,59.47023,497.47368,99.47023,497.47368
86.41582,603.57895,156.41582,603.57895,16.41582,603.57895,66.41582,603.57895,106.41582,603.57895
91.49297,709.68421,161.49297,709.68421,21.49297,709.68421,71.49297,709.68421,111.49297,709.68421
94.70168,815.78947,164.70168,815.78947,24.70168,815.78947,74.70168,815.78947,114.70168,815.78947
96.04196,921.89474,166.04196,921.89474,26.04196,921.89474,76.04196,921.89474,116.04196,921.89474
95.51381,1028,165.51381,1028,25.51381,1028,75.51381,1028,115.51381,1028
